"",01APAC,003MARUZI COUNTY,01AKOKORO,05AYEOLYEC,07 KAYEI
"",,,,,08 TETUGO
"",,,,,09 WANGCENYE
"",,,,06KUNGU,01 ABUDAMA  'A'
"",,,,,02 ABUDAMA ' B'
"",,,,,03 ACHOLI INN
"",,,,,04 AMOWINYA
"",,,,,05 IGULU
"",,,,,06 ISUNGA
"",,,,,07 KAICHA
"",,,,,08 TE ALAL'
"",,,,,09 KAMPALA KAGOYE
"",,,,24ALARO,01 ACAN PII
"",,,,,02 ACOGE
"",,,,,03 ADUTA
"",,,,,04 AJAL
"",,,,,05 ALARO
"",,,,,06 APURI
"",,,,,07 BAROKWORO
"",,,,,08 KAWEMPE
"",,,,,09 KIGGA
"",,,,,10 NAKITOMA
"",,,,,11 OTOITWA
"",,,,,12 WANSOLO
"",,,,27AMUN,01 ACOGE
"",,,,,02 ADEKTAR
"",District,Constituency,"Subcounty/Division",Parish/Ward,Village/Cell
"",01APAC,003MARUZI COUNTY,01AKOKORO,27AMUN,04 AMUN 'B'
"",,,,,05 AWILABONGO
"",,,,,06 LELA
"",,,,,07 ORETA
"",,,,,08 TEE IMIN
"",,,02APAC,07ATIK,01 ACEKENE
"",,,,,02 ANGIC
"",,,,,03 APOROTUKU
"",,,,,04 AROCHA
"",,,,,05 ATIK BUNG
"",,,,,06 AWIRI
"",,,,,07 BAMA 'A'
"",,,,,08 BAMA 'B'
"",,,,,09 BARDEK 'A'
"",,,,,10 BARDEK 'B'
"",,,,,11 MAT IMI AMOR
"",,,,,12 ORWAI
"",,,,,13 OWANG
"",,,,,14 OWANG CENTRAL
"",,,,,15 ABEIBUTI
"",,,,08ATOPI,01 AKULI 'A'
"",,,,,02 AKULI 'B'
"",,,,,03 ALYEC IMALO
"",,,,,04 ALYEC IPINY
"",,,,,05 ANYAI A
"",,,,,06 ANYAI B
"",District,Constituency,"Subcounty/Division",Parish/Ward,Village/Cell
"",01APAC,003MARUZI COUNTY,02APAC,08ATOPI,08 ATAKARA
"",,,,,09 ATEK
"",,,,,10 ATOPI 'A'
"",,,,,11 ATOPI 'B'
"",,,,,12 ATOPI PRISONS
"",,,,,"13 ATOPI TRADINGCENTRE"
"",,,,,14 AYERA 'A'
